2025/07/18 19:50:15.215101 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 1
2025/07/18 19:50:15.215128 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, metric 0, path 4
2025/07/18 19:50:15.264977 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 1
2025/07/18 19:50:15.264997 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, metric 0, path 2
2025/07/18 19:50:15.265336 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4
2025/07/18 19:50:15.315309 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2
2025/07/18 19:50:15.315330 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3
2025/07/18 19:50:15.315614 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7
2025/07/18 19:50:15.315634 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3
2025/07/18 19:50:15.365828 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8
2025/07/18 19:50:15.366001 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7
2025/07/18 19:50:15.415942 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 10
2025/07/18 19:50:15.415966 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5
2025/07/18 19:50:15.416158 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 10
2025/07/18 19:50:15.416178 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8
2025/07/18 19:50:15.416198 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12
2025/07/18 19:50:15.466329 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5
2025/07/18 19:50:15.466446 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12
2025/07/18 19:50:15.516761 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5 6
2025/07/18 19:50:15.567024 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5 6
2025/07/18 19:50:15.667573 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5 6 18
